iter	Passed	Remaining
0	197	394253
1	389	389153
2	579	385508
3	760	379628
4	959	382906
5	1149	382011
6	1366	389024
7	1571	391212
8	1758	389124
9	1940	386227
10	2118	383041
11	2315	383573
12	2497	381800
13	2677	379762
14	2851	377326
15	3073	381057
16	3872	451764
17	4390	483398
18	4625	482296
19	5023	497314
20	5291	498686
21	5600	503562
22	5889	506230
23	6077	500378
24	6311	498646
25	6579	499573
26	6845	500249
27	7153	503834
28	7475	508105
29	7791	511613
30	8180	519610
31	8635	531078
32	9165	546293
33	9507	549740
34	9966	559574
35	10233	558277
36	10744	570037
37	11008	568383
38	11269	566639
39	11543	565649
40	12085	577446
41	12560	585569
42	12887	586509
43	13161	585070
44	13413	582737
45	13863	588902
46	14361	596761
47	14724	598796
48	14950	595290
49	15180	592047
50	15387	588060
51	15616	585028
52	15792	580149
53	15998	576531
54	16194	572696
55	16397	569217
56	16570	564851
57	16765	561356
58	16953	557728
59	17150	554540
60	17338	551123
61	17512	547414
62	17702	544278
63	17883	540969
64	18075	538084
65	18259	535049
66	18464	532726
67	18707	531521
68	19005	531872
69	19228	530147
70	19479	529242
71	19670	526733
72	19866	524427
73	20077	522555
74	20268	520231
75	20456	517867
76	20655	515855
77	21089	519657
78	21341	518948
79	21540	516976
80	21723	514670
81	21937	513117
82	22127	511067
83	22337	509499
84	22559	508254
85	22769	506752
86	22905	503663
87	23109	502098
88	23314	500605
89	23507	498883
90	23808	499461
91	24118	500201
92	24327	498841
93	24529	497373
94	24725	495805
95	24949	494823
96	25192	494245
97	25408	493131
98	25727	494013
99	25969	493412
100	26177	492181
101	26400	491264
102	26659	490999
103	26896	490343
104	27119	489443
105	27367	489003
106	27602	488330
107	27901	488786
108	28107	487622
109	28317	486544
110	28558	486011
111	28772	485015
112	29045	485031
113	29245	483829
114	29436	482504
115	29635	481317
116	29813	479817
117	30048	479246
118	30306	479046
119	30530	478318
120	30728	477185
121	30958	476552
122	31172	475699
123	31482	476295
124	31773	476604
125	31988	475768
126	32233	475380
127	32464	474788
128	32691	474158
129	32946	473919
130	33197	473631
131	33431	473113
132	33699	473058
133	33955	472837
134	34192	472361
135	34386	471292
136	34607	470615
137	34803	469592
138	34999	468587
139	35182	467421
140	35371	466353
141	35549	465149
142	35745	464192
143	35936	463185
144	36142	462377
145	36338	461452
146	36574	461043
147	36779	460237
148	36987	459490
149	37178	458540
150	37391	457857
151	37572	456801
152	37747	455685
153	37952	454939
154	38128	453846
155	38329	453071
156	38515	452132
157	38704	451226
158	38883	450222
159	39087	449506
160	39290	448790
161	39406	447099
162	39605	446346
163	39934	447068
164	40159	446622
165	40364	445958
166	40542	444994
167	40757	444447
168	40955	443726
169	41130	442760
170	41321	441971
171	41523	441306
172	41705	440442
173	41882	439522
174	42079	438824
175	42271	438086
176	42489	437615
177	42684	436916
178	42877	436198
179	43060	435393
180	43249	434649
181	43435	433876
182	43631	433212
183	43826	432544
184	44028	431956
185	44232	431384
186	44438	430838
187	44629	430147
188	44823	429497
189	45016	428843
190	45203	428128
191	45394	427460
192	45590	426852
193	45780	426179
194	45980	425613
195	46169	424947
196	46352	424232
197	46536	423528
198	46746	423067
199	46924	422321
200	47118	421721
201	47299	421014
202	47489	420384
203	47685	419815
204	47859	419066
205	48064	418582
206	48252	417952
207	48453	417447
208	48623	416674
209	48798	415949
210	48976	415253
211	49163	414643
212	49349	414024
213	49536	413422
214	49717	412767
215	49917	412279
216	50115	411775
217	50284	411037
218	50499	410681
219	50680	410050
220	50879	409570
221	51068	409010
222	51295	408757
223	51502	408343
224	51678	407683
225	51875	407196
226	52069	406692
227	52259	406157
228	52455	405671
229	52636	405071
230	52811	404433
231	52993	403847
232	53181	403314
233	53357	402691
234	53535	402082
235	53723	401563
236	53912	401048
237	54151	400905
238	54471	401356
239	54679	400979
240	54902	400719
241	55095	400241
242	55310	399923
243	55500	399422
244	55732	399225
245	55979	399140
246	56221	399011
247	56458	398854
248	56660	398444
249	56955	398691
250	57238	398843
251	57532	399077
252	57683	398309
253	57952	398364
254	58233	398497
255	58496	398506
256	58741	398387
257	58964	398125
258	59290	398550
259	59550	398532
260	59771	398248
261	60048	398339
262	60260	397994
263	60547	398148
264	60868	398516
265	61185	398854
266	61595	399790
267	61878	399900
268	62141	399878
269	62404	399848
270	62650	399712
271	62927	399771
272	63151	399498
273	63402	399388
274	63695	399547
275	63989	399704
276	64293	399920
277	64630	400337
278	64874	400172
279	65176	400370
280	65452	400403
281	65709	400314
282	66135	401251
283	66367	401007
284	66556	400504
285	66865	400723
286	67112	400567
287	67485	401163
288	67804	401433
289	68070	401383
290	68509	402346
291	68736	402061
292	68956	401737
293	69175	401407
294	69413	401186
295	69715	401333
296	69998	401370
297	70239	401166
298	70471	400908
299	70676	400502
300	70916	400289
301	71153	400061
302	71425	400030
303	71663	399808
304	71889	399515
305	72143	399380
306	72389	399205
307	72628	398984
308	72901	398955
309	73113	398587
310	73315	398165
311	73546	397907
312	73811	397829
313	74066	397692
314	74311	397508
315	74592	397510
316	74784	397043
317	75229	397912
318	75415	397409
319	75624	397030
320	75813	396547
321	76119	396673
322	76367	396498
323	76561	396041
324	76746	395538
325	76930	395036
326	77123	394580
327	77315	394122
328	77496	393607
329	77693	393178
330	77876	392674
331	78076	392261
332	78286	391900
333	78500	391561
334	78687	391089
335	78891	390700
336	79085	390265
337	79262	389747
338	79471	389385
339	79672	388988
340	79854	388499
341	80038	388022
342	80244	387654
343	80464	387353
344	80799	387604
345	81076	387573
346	81275	387172
347	81483	386812
348	81704	386516
349	81902	386112
350	82089	385655
351	82291	385273
352	82461	384741
353	82672	384404
354	82863	383974
355	83052	383534
356	83251	383143
357	83456	382780
358	83646	382352
359	83832	381904
360	84035	381534
361	84268	381301
362	84568	381375
363	84996	382016
364	85242	381838
365	85489	381668
366	85744	381529
367	85974	381277
368	86203	381022
369	86459	380891
370	86712	380741
371	86933	380452
372	87166	380214
373	87418	380060
374	87629	379728
375	87914	379716
376	88172	379587
377	88412	379376
378	88662	379213
379	88912	379048
380	89145	378810
381	89403	378679
382	89633	378426
383	89870	378203
384	90108	377986
385	90334	377718
386	90558	377442
387	90795	377224
388	91059	377114
389	91303	376917
390	91536	376678
391	91774	376461
392	92007	376224
393	92262	376073
394	92488	375807
395	92719	375562
396	92956	375338
397	93191	375108
398	93436	374917
399	93677	374710
400	93907	374457
401	94139	374214
402	94414	374143
403	94622	373807
404	94861	373591
405	95110	373412
406	95345	373182
407	95559	372870
408	95817	372725
409	96060	372526
410	96305	372335
411	96561	372183
412	96811	372010
413	97044	371771
414	97288	371571
415	97522	371334
416	97729	370999
417	97952	370718
418	98183	370474
419	98419	370245
420	98659	370030
421	98910	369857
422	99134	369587
423	99366	369343
424	99600	369107
425	99840	368892
426	100072	368652
427	100285	368337
428	100517	368094
429	100787	367993
430	101017	367741
431	101274	367589
432	101517	367385
433	101782	367261
434	102008	366994
435	102272	366868
436	102508	366637
437	102757	366455
438	103014	366301
439	103282	366183
440	103520	365958
441	103780	365815
442	104033	365643
443	104276	365438
444	104586	365463
445	104867	365391
446	105119	365215
447	105391	365106
448	105821	365545
449	106114	365506
450	106377	365361
451	106658	365283
452	106932	365175
453	107230	365149
454	107516	365083
455	107775	364925
456	108038	364776
457	108298	364621
458	108549	364433
459	108917	364637
460	109272	364795
461	109522	364601
462	109787	364456
463	110032	364246
464	110277	364034
465	110522	363822
466	110768	363613
467	110997	363350
468	111255	363181
469	111501	362973
470	111759	362804
471	111984	362526
472	112234	362331
473	112464	362070
474	112688	361788
475	112948	361624
476	113177	361361
477	113413	361118
478	113629	360814
479	113871	360594
480	114113	360370
481	114366	360183
482	114601	359938
483	114868	359793
484	115089	359506
485	115334	359293
486	115569	359050
487	115785	358744
488	115996	358427
489	116284	358345
490	116512	358081
491	116743	357822
492	117011	357679
493	117251	357450
494	117497	357239
495	117732	356996
496	117980	356789
497	118194	356481
498	118429	356237
499	118662	355987
500	118896	355741
501	119124	355476
502	119354	355215
503	119583	354955
504	119811	354690
505	120037	354419
506	120280	354200
507	120524	353982
508	120780	353800
509	121009	353537
510	121243	353292
511	121458	352988
512	121677	352699
513	121929	352504
514	122151	352221
515	122383	351970
516	122633	351771
517	122873	351541
518	123108	351298
519	123349	351070
520	123597	350863
521	123825	350600
522	124084	350426
523	124312	350162
524	124547	349919
525	124966	350191
526	125203	349950
527	125433	349692
528	125688	349505
529	125935	349292
530	126171	349049
531	126402	348795
532	126625	348515
533	126829	348188
534	127090	348014
535	127326	347771
536	127597	347626
537	127833	347383
538	128068	347140
539	128311	346916
540	128546	346671
541	128785	346437
542	129012	346171
543	129236	345897
544	129473	345659
545	129705	345406
546	129951	345190
547	130189	344955
548	130421	344703
549	130645	344428
550	130882	344188
551	131097	343893
552	131330	343644
553	131567	343405
554	132032	343760
555	132312	343631
556	132528	343336
557	132763	343090
558	132979	342795
559	133208	342535
560	133441	342284
561	133690	342076
562	133928	341839
563	134161	341588
564	134390	341326
565	134628	341091
566	134853	340819
567	135081	340558
568	135312	340301
569	135542	340044
570	135788	339827
571	136018	339571
572	136258	339338
573	136476	339050
574	136720	338828
575	136964	338605
576	137274	338547
577	137609	338548
578	137849	338313
579	138080	338059
580	138308	337797
581	138543	337550
582	138787	337326
583	139006	337043
584	139242	336799
