iter	Logloss
0	0.6851370284
1	0.6783830826
2	0.6718192478
3	0.6655476184
4	0.658192817
5	0.6528989714
6	0.6485895576
7	0.6436219988
8	0.6396060529
9	0.6358719128
10	0.629838831
11	0.6248795008
12	0.6197451223
13	0.615760512
14	0.6120752547
15	0.6072656704
16	0.6035241697
17	0.6004794166
18	0.5978404789
19	0.5943859781
20	0.5918420252
21	0.5892075387
22	0.5876522609
23	0.5860103531
24	0.5831275894
25	0.5816689917
26	0.5804508676
27	0.5788111517
28	0.5775173812
29	0.5763946185
30	0.5751108164
31	0.5738657463
32	0.5723655002
33	0.5713997137
34	0.569378683
35	0.5683330504
36	0.5674050899
37	0.5666701096
38	0.5660725381
39	0.5653861996
40	0.5644929956
41	0.5629730225
42	0.5612315623
43	0.5597297187
44	0.5588067518
45	0.5582375612
46	0.5576368665
47	0.5569401761
48	0.5562756736
49	0.5558735389
50	0.5549590951
51	0.5544784563
52	0.5539735963
53	0.5533062895
54	0.5527328098
55	0.5519502815
56	0.5511438091
57	0.5504903307
58	0.5497556619
59	0.5490459284
60	0.5483868441
61	0.5474294575
62	0.5468187111
63	0.5459221327
64	0.5455684478
65	0.5450220676
66	0.5445641352
67	0.5439059437
68	0.5434701511
69	0.5430165838
70	0.5426551311
71	0.5420983317
72	0.5415333592
73	0.541064993
74	0.5406646769
75	0.5401895438
76	0.5398269726
77	0.5392202393
78	0.538871699
79	0.5383043106
80	0.5379121527
81	0.5376523237
82	0.5366449623
83	0.536215383
84	0.535771999
85	0.5353078521
86	0.5351179762
87	0.5348572391
88	0.5346288434
89	0.5343422826
90	0.5341374298
91	0.5339702512
92	0.5336394076
93	0.533396609
94	0.5331152356
95	0.5326227526
96	0.5322173791
97	0.5319885247
98	0.5312881245
99	0.5308389095
100	0.5305366418
101	0.5302295994
102	0.5299983442
103	0.5297828258
104	0.529423747
105	0.5289288185
106	0.5285967474
107	0.5283295252
108	0.5280949807
109	0.5277686216
110	0.5275027648
111	0.5272849916
112	0.5270370967
113	0.526648718
114	0.5265267793
115	0.5259656048
116	0.5256634291
117	0.5254908774
118	0.525319669
119	0.5250323626
120	0.5246375542
121	0.5244065488
122	0.5242422858
123	0.5239542725
124	0.5237516238
125	0.5234061182
126	0.5231521727
127	0.5228427029
128	0.5225674605
129	0.5223843041
130	0.5221711367
131	0.5218523939
132	0.5215099288
133	0.5211754514
134	0.5208998041
135	0.5206797723
136	0.5204253115
137	0.5201942742
138	0.5197803382
139	0.5195696615
140	0.5192774446
141	0.5191373398
142	0.5188057397
143	0.5183394341
144	0.5181840759
145	0.5179900514
146	0.5177072693
147	0.5174161152
148	0.5171692824
149	0.5166851389
150	0.5164878632
151	0.5163840155
152	0.5162001606
153	0.5160157028
154	0.5157290723
155	0.5155911937
156	0.5154616072
157	0.5152640969
158	0.5150367153
159	0.5147863051
160	0.5145843755
161	0.5144119891
162	0.5142098939
163	0.5140119142
164	0.5138360804
165	0.5136254288
166	0.513382479
167	0.5131257948
168	0.5128950201
169	0.5126650513
170	0.5123007181
171	0.5119954397
172	0.5116789727
173	0.511487602
174	0.5113654219
175	0.51111743
176	0.5109547768
177	0.5108351301
178	0.5106170848
179	0.5104013935
