iter	Logloss
0	0.6849409238
1	0.6781545847
2	0.6695841266
3	0.6634241393
4	0.6580129659
5	0.6527992515
6	0.6473994008
7	0.6407309358
8	0.634627025
9	0.6301875
10	0.6263315522
11	0.6223182143
12	0.6183167695
13	0.6158309734
14	0.6121666287
15	0.6083854456
16	0.6054897838
17	0.6027965114
18	0.599751074
19	0.5960847611
20	0.5942172315
21	0.5918906749
22	0.5900896313
23	0.5882132384
24	0.5862876628
25	0.5847146252
26	0.5833174407
27	0.5808311327
28	0.5797060663
29	0.5783733708
30	0.5760098587
31	0.5746004303
32	0.5736015859
33	0.5724460783
34	0.5711296464
35	0.569188565
36	0.5682457438
37	0.5668515814
38	0.5656853823
39	0.5647781343
40	0.5637624826
41	0.562278245
42	0.5612382069
43	0.5605196328
44	0.5595532313
45	0.5579859396
46	0.5571381757
47	0.5556239512
48	0.5546863984
49	0.5534106164
50	0.5527980285
51	0.5517753969
52	0.5510970297
53	0.5505025391
54	0.5497352413
55	0.5490874048
56	0.5484307921
57	0.5473146598
58	0.5467041063
59	0.5459721132
60	0.5452463284
61	0.544763921
62	0.5439928463
63	0.5435091797
64	0.5430551026
65	0.5425294156
66	0.5419149409
67	0.5415028544
68	0.5410645307
69	0.5406227872
70	0.5400958281
71	0.5397678143
72	0.5394324579
73	0.5390247977
74	0.5385106525
75	0.5380701174
76	0.5376036947
77	0.5372452001
78	0.5369129264
79	0.5367638323
80	0.5361906003
81	0.5358570411
82	0.5355097338
83	0.5350978664
84	0.5347589221
85	0.534347601
86	0.5338377848
87	0.5335102436
88	0.5330204273
89	0.5327360678
90	0.532327963
91	0.5319053953
92	0.5315292875
93	0.5311061794
94	0.5306567763
95	0.5302376653
96	0.5298384786
97	0.5295167464
98	0.5291751104
99	0.5290381658
100	0.528702284
101	0.5283774877
102	0.5280437328
103	0.5275863491
104	0.5272482676
105	0.526564729
106	0.5263030924
107	0.525940496
108	0.525694064
109	0.5254201397
110	0.5249933945
111	0.5247323239
112	0.5242275293
113	0.5238331487
114	0.5235109439
115	0.5232190147
116	0.5229886342
117	0.5225799522
118	0.5222445962
119	0.5219731999
120	0.5217595547
121	0.5214404822
122	0.5211802047
123	0.5208932289
124	0.5207052904
