iter	MultiClass
233	0.5096786545
234	0.5093903104
235	0.5091463819
236	0.5088143077
237	0.5085570996
238	0.5081401943
239	0.5079552434
240	0.5076922452
241	0.5072867486
242	0.5070743336
243	0.5068345164
244	0.5065795917
245	0.5062859715
246	0.5060389605
247	0.5058271117
248	0.505641669
249	0.5053725506
250	0.5050843187
251	0.5048136953
252	0.5045100441
253	0.5042750449
254	0.5039896294
255	0.5038074207
256	0.5035553756
257	0.5032342166
258	0.5029375977
259	0.5025761945
260	0.5023483937
261	0.502059049
262	0.5018326908
263	0.5015734302
264	0.5012969587
265	0.5010528256
266	0.5007706224
267	0.5003410491
268	0.5000685181
269	0.4998708527
270	0.4995019293
271	0.4992469193
272	0.4989210349
273	0.4985990846
274	0.4983352199
275	0.4979302195
276	0.497777081
277	0.4975285625
278	0.4972452457
279	0.4969580667
280	0.4966051418
281	0.4962483535
282	0.4960440813
283	0.4958049146
284	0.4955610343
285	0.4953502373
286	0.4949345685
287	0.4946259022
288	0.4943924409
289	0.4941404356
290	0.4938382794
291	0.4935311661
292	0.4933284105
293	0.4929674257
294	0.4927445597
295	0.4924369439
296	0.4921686239
297	0.4919993912
298	0.4918308185
299	0.4915419008
300	0.4912559537
301	0.4910162505
302	0.4907572687
303	0.4905362097
304	0.4902038144
305	0.4899203683
306	0.4896661924
307	0.4894598883
308	0.4892302301
309	0.4888692609
310	0.4886370024
311	0.4884485586
312	0.4881701487
313	0.4879294012
314	0.4875658846
315	0.4873478742
316	0.4871317581
317	0.4868740151
318	0.486725724
319	0.486484646
320	0.486173183
321	0.4859446791
322	0.4855931235
323	0.4852826899
324	0.4850412213
325	0.4847669497
326	0.484388202
327	0.4841199484
328	0.48393416
329	0.483698953
330	0.4834709122
331	0.4832315424
332	0.4829528127
333	0.4827007113
334	0.482470476
335	0.4822884409
336	0.4820297368
337	0.481844641
338	0.4816007546
339	0.4813228769
340	0.4811176349
341	0.480781661
342	0.4805404475
343	0.480252665
344	0.4799119811
345	0.479699354
346	0.4793126824
347	0.4791133575
348	0.4788456436
349	0.4785190392
350	0.478276203
351	0.4780046662
352	0.477784197
353	0.47751599
354	0.4773117839
355	0.4770814791
356	0.4767367155
357	0.476541035
358	0.4762715889
359	0.476017176
360	0.4757975011
361	0.4755004261
362	0.4752474516
363	0.4750510369
364	0.4749160144
365	0.47470679
366	0.4745165285
367	0.4742708424
368	0.4740937604
369	0.473837919
370	0.4735625303
371	0.4732819207
372	0.4731327951
373	0.4729482439
374	0.4727023947
375	0.4725110161
376	0.4722054025
377	0.471848465
378	0.4715506133
379	0.4713020968
380	0.4711499961
381	0.4708728079
382	0.4705900909
383	0.4703904632
384	0.4700485973
385	0.4698014184
386	0.4696740541
387	0.4694467671
388	0.4691536858
389	0.4689731415
390	0.4687729486
391	0.4684799559
392	0.4682006364
393	0.4679386689
394	0.4677497135
395	0.4675539208
396	0.4672575772
397	0.4669795204
398	0.4667836998
399	0.4665405154
400	0.4663733802
401	0.4661870571
402	0.4659717533
403	0.4657175334
404	0.4655060665
405	0.4652959962
406	0.4650369531
407	0.4647566098
408	0.464622926
409	0.4644552877
410	0.4642687692
411	0.4640150323
412	0.4636834785
413	0.4634232892
414	0.4630986708
415	0.4629355968
416	0.4627780699
417	0.4626298444
418	0.4624129005
419	0.4621912931
420	0.4619774142
421	0.4617976299
422	0.4615960612
423	0.4614208505
424	0.4611537882
425	0.4609798144
426	0.4607569403
427	0.4604713833
428	0.4602342432
429	0.4599942829
430	0.4596658953
431	0.4594502024
432	0.4591942895
433	0.4589413984
434	0.4587163113
435	0.4584736231
436	0.4582903736
437	0.4580091049
438	0.457752346
439	0.4575166298
440	0.4572865826
441	0.4570582947
442	0.4568794137
443	0.4566266199
444	0.4564698072
445	0.4562805308
446	0.4560853151
447	0.455843759
448	0.4556103034
449	0.4553390276
450	0.4551526229
451	0.4549802776
452	0.454765563
453	0.4544874769
454	0.4542200741
455	0.4540580584
456	0.4538131906
457	0.4535794444
458	0.4532736401
459	0.4530756285
460	0.4527777603
461	0.4525425152
462	0.4522749793
463	0.4520562894
464	0.4518949387
465	0.4516702661
466	0.451375015
467	0.4510945022
468	0.4508434711
469	0.4506856698
470	0.4504738327
471	0.4503109343
472	0.4500734718
473	0.4499229219
474	0.4497052101
475	0.4495294003
476	0.449344329
477	0.4491228335
478	0.4489697956
479	0.4486860546
480	0.4483597194
481	0.448126117
482	0.4479139266
483	0.4476961133
484	0.4474514156
485	0.4472529782
486	0.4469952867
487	0.4467695538
488	0.4465627126
489	0.4463516764
490	0.446212023
491	0.4461210727
492	0.4458081872
493	0.4456137293
494	0.4453023892
495	0.4449924267
496	0.4447246205
497	0.4445497739
498	0.4442930765
499	0.4440795807
