iter	Logloss
0	0.6849318949
1	0.6781681236
2	0.6709114529
3	0.6645468937
4	0.655847145
5	0.6508529405
6	0.6467927288
7	0.6404767695
8	0.6337969806
9	0.6291348684
10	0.625539963
11	0.6215307711
12	0.6169375613
13	0.6146625668
14	0.609871578
15	0.6070510668
16	0.6046323902
17	0.6017536498
18	0.5987674258
19	0.5950776811
20	0.5933611805
21	0.5911067343
22	0.5891147623
23	0.5871392131
24	0.5840048688
25	0.5823439323
26	0.5809221788
27	0.5791170078
28	0.5766863242
29	0.5749691223
30	0.5737277557
31	0.5713270656
32	0.5697190468
33	0.5688029717
34	0.5676764264
35	0.5663832635
36	0.5653123869
37	0.564047988
38	0.5627334098
39	0.5620276819
40	0.5608263098
41	0.5593806159
42	0.5578301289
43	0.5572163255
44	0.5558074078
45	0.5550678826
46	0.5544214985
47	0.5537287624
48	0.5532352949
49	0.5526788774
50	0.5514297243
51	0.5507869957
52	0.550272601
53	0.5498631669
54	0.5492208242
55	0.5486434567
56	0.5481403525
57	0.547363497
58	0.5464974302
59	0.5458267649
60	0.5449855124
61	0.5445636524
62	0.5440415392
63	0.5434185379
64	0.5428362112
65	0.5423483423
66	0.5416977682
67	0.5411751476
68	0.5399404951
69	0.539329874
70	0.5389956838
71	0.5385344196
72	0.5381960998
73	0.5377903626
74	0.5373269535
75	0.5369098862
76	0.5364101644
77	0.5359226088
78	0.5355665977
79	0.5351954031
80	0.5348035714
81	0.5344105979
82	0.5340648794
83	0.5337151329
84	0.5332309823
85	0.5328789526
86	0.5324873049
87	0.532055777
88	0.5317820442
89	0.5314241103
90	0.5309535688
91	0.5305502477
92	0.530170988
93	0.5298532255
94	0.5294424625
95	0.5291429934
96	0.5287155718
97	0.5284543744
98	0.5282098506
99	0.5279048362
100	0.5277264272
101	0.5273460404
102	0.5269793026
103	0.5267705748
104	0.5264833309
105	0.5260160616
106	0.5257151707
107	0.5254582572
108	0.5247332487
109	0.5244256956
110	0.5240942778
111	0.5237732021
112	0.5235079748
113	0.5232825813
114	0.5228810909
115	0.5225713961
116	0.5222833815
117	0.5219597834
118	0.5216863711
119	0.5214838921
120	0.5212344089
121	0.5209583654
122	0.520642028
123	0.5203091847
124	0.5199482813
125	0.5197764906
126	0.5195168247
127	0.5191293768
128	0.5188815635
129	0.5186207314
130	0.5183715538
131	0.5180963245
132	0.5178158296
133	0.5175522236
134	0.5172068255
135	0.5169493945
136	0.5167800322
137	0.5165604631
138	0.5163555018
139	0.5160292335
140	0.5157849749
141	0.5155754911
142	0.5153088006
143	0.5151462297
144	0.514960906
145	0.5146420997
146	0.5144373755
147	0.5141910438
148	0.5138834277
149	0.5138493971
150	0.5135683859
151	0.5132726866
152	0.5129735672
153	0.5127581583
154	0.5124554979
155	0.5121982822
156	0.5119983552
157	0.5118764774
158	0.5117350159
159	0.5115276881
160	0.5112708386
161	0.5110180442
162	0.5108749211
163	0.5108332944
164	0.5104422481
165	0.5102315567
166	0.5099647665
167	0.5097120618
168	0.5095412071
169	0.5093217021
170	0.5091069978
171	0.5089117331
172	0.5087535122
173	0.5085524712
174	0.508457314
175	0.5083215302
176	0.5081275382
177	0.5079373872
178	0.5077055663
179	0.5074888221
180	0.5072793671
181	0.5070423944
182	0.5067680328
183	0.5065830531
184	0.506353104
185	0.5061655263
186	0.5059962506
187	0.505862764
188	0.5056255647
189	0.5053735933
190	0.5051321938
191	0.5048023106
192	0.5046001133
193	0.5044672897
194	0.5042746442
195	0.5040702181
196	0.5039380929
197	0.503735857
198	0.5036706656
199	0.5033948349
200	0.5029890654
201	0.5028664573
202	0.5027382126
203	0.5025336784
204	0.5023201789
205	0.5020785706
206	0.5019401351
207	0.5016862801
208	0.5015155307
209	0.5013120657
210	0.5011394345
211	0.5009751553
212	0.5007229878
213	0.500607997
214	0.5004238976
215	0.5002247194
216	0.5000558004
217	0.4998482681
218	0.4996396774
219	0.4994115801
220	0.4991577081
221	0.4988606942
222	0.4986726887
223	0.4985488946
224	0.4982804398
225	0.498063671
226	0.4979489786
227	0.4977532463
228	0.4975942982
229	0.4974903788
230	0.4973829684
231	0.4973209312
232	0.4971897324
233	0.4969495169
234	0.4968813127
235	0.4967933962
236	0.4965518749
237	0.4963618004
238	0.4962281592
239	0.4959922034
240	0.4958675418
241	0.4956860463
242	0.4954928044
243	0.4952854448
244	0.495107123
245	0.4948783586
246	0.4946646472
247	0.4944224429
248	0.4942402562
249	0.494031219
250	0.4938944835
251	0.4937647598
252	0.4935324249
253	0.4933848363
254	0.493155119
255	0.4929937881
256	0.492855248
257	0.4927793714
258	0.4925819456
259	0.4923849194
260	0.4921090585
261	0.4919262403
262	0.4918327145
263	0.4916793113
264	0.49144876
265	0.4911699272
266	0.4910060544
267	0.4907320169
268	0.4905900513
269	0.4904438701
270	0.49032829
271	0.4901186737
272	0.4899452384
273	0.4897966054
274	0.4896164351
275	0.4894233353
276	0.4893433403
277	0.4891830043
278	0.4890111659
279	0.4888293175
280	0.4885770822
281	0.4883761058
282	0.4882602612
283	0.4880588692
284	0.4878729704
285	0.4877590797
286	0.4875360649
287	0.4874273842
288	0.4873096694
289	0.4871411621
290	0.4869064411
291	0.4867069705
292	0.4865883631
293	0.4863149366
294	0.4861072946
295	0.4860495079
296	0.4858434831
297	0.4856568718
298	0.4854703328
299	0.4851404284
300	0.4849421508
301	0.4847384465
302	0.4845985928
303	0.4843900451
304	0.4841711879
305	0.4840803198
306	0.4838960233
307	0.4836827706
308	0.4835256489
309	0.483326805
310	0.4831486657
311	0.4830520434
312	0.4828236215
313	0.4825220717
314	0.4824272156
315	0.4822811813
316	0.482051078
317	0.4819015157
318	0.4817428941
319	0.4815745169
320	0.4814194132
321	0.4812356913
322	0.4810364194
323	0.4808198082
324	0.4806352397
325	0.4804582907
326	0.480289572
327	0.4800751363
328	0.4799029936
329	0.479726288
330	0.479568558
331	0.4793879196
332	0.4792587241
333	0.4790358525
334	0.4788909216
335	0.4787380586
336	0.4785726452
337	0.4784189676
338	0.478295106
339	0.4781154988
340	0.4779590713
341	0.4778023157
342	0.4776516427
343	0.4774674158
344	0.4773649536
345	0.4772054679
346	0.4770170871
347	0.4768602215
348	0.4766991568
349	0.4765634365
350	0.4763424889
351	0.4761982269
352	0.4759812971
353	0.4758045086
354	0.4756528359
355	0.4755341792
356	0.4753364147
357	0.4751778394
358	0.4749939855
359	0.4748359282
360	0.4746904172
361	0.4744414922
362	0.4742708811
