iter	Passed	Remaining
0	229	459151
1	487	487479
2	715	476423
3	966	482329
4	1190	475123
5	1425	473650
6	1650	469800
7	1877	467611
8	2131	471625
9	2367	471095
10	2628	475249
11	2867	475007
12	3126	477931
13	3344	474486
14	3578	473607
15	3797	470877
16	4046	472068
17	4279	471194
18	4510	470241
19	4720	467302
20	4968	468216
21	5202	467742
22	5432	467001
23	5665	466485
24	5907	466705
25	6140	466207
26	6364	465059
27	6606	465287
28	6884	467917
29	7097	466082
30	7347	466673
31	7581	466238
32	7828	466604
33	8078	467107
34	8344	468459
35	8589	468608
36	8843	469160
37	9091	469389
38	9325	468909
39	9565	468732
40	9839	470123
41	10093	470538
42	10328	470044
43	10558	469381
44	10793	468906
45	11039	468950
46	11275	468531
47	11510	468104
48	11745	467669
49	11995	467841
50	12235	467573
51	12480	467541
52	12701	466582
53	12954	466850
54	13193	466557
55	13452	466996
56	13686	466538
57	13922	466150
58	14150	465538
59	14377	464869
60	14627	464962
61	14874	464940
62	15113	464670
63	15338	463991
64	15562	463271
65	15785	462548
66	16019	462182
67	16232	461183
68	16472	461003
69	16725	461133
70	16956	460681
71	17188	460277
72	17439	460343
73	17671	459929
74	17902	459501
75	18138	459186
76	18353	458366
77	18578	457792
78	18807	457324
79	19042	457017
80	19255	456195
81	19490	455881
82	19724	455554
83	19998	456160
84	20229	455767
85	20455	455251
86	20656	454215
87	20893	453963
88	21120	453502
89	21363	453381
90	21800	457331
91	22045	457202
92	22274	456756
93	22543	457104
94	22796	457124
95	23013	456439
96	23241	455972
97	23471	455540
98	23697	455030
99	23945	454955
100	24170	454447
101	24392	453899
102	24621	453470
103	24846	452978
104	25089	452810
105	25336	452703
106	25581	452586
107	25796	451910
108	26015	451325
109	26236	450786
110	26486	450749
111	26757	451054
112	26994	450776
113	27288	451448
114	27529	451251
115	27775	451117
116	28027	451082
117	28254	450636
118	28490	450335
119	28721	449963
120	28959	449710
121	29225	449877
122	29482	449907
123	29735	449869
124	29967	449511
125	30198	449137
126	30438	448911
127	30692	448884
128	30946	448838
129	31226	449175
130	31461	448869
131	31736	449118
132	32011	449370
133	32263	449274
134	32719	452013
135	33025	452638
136	33260	452295
137	33479	451725
138	33697	451162
139	33934	450840
140	34176	450591
141	34399	450103
142	34651	449981
143	34869	449435
144	35097	449001
145	35353	448939
146	35571	448388
147	35797	447951
148	36045	447788
149	36139	445721
150	36396	445681
151	36643	445510
152	36871	445108
153	37120	444967
154	37336	444430
155	37587	444306
156	37827	444056
157	38082	443971
158	38318	443677
159	38575	443622
160	38813	443340
161	39064	443218
162	39355	443533
163	39495	442158
164	39747	442037
165	39997	441897
166	40224	441506
167	40470	441318
168	40684	440792
169	40918	440471
170	41131	439939
171	41365	439631
172	41592	439250
173	41853	439216
174	42097	439018
175	42337	438766
176	42580	438550
177	42823	438342
178	43081	438274
179	43317	437988
180	43549	437662
181	43786	437380
182	44048	437357
183	44285	437080
184	44514	436726
185	44735	436287
186	44982	436111
187	45186	435520
188	45416	435180
189	45649	434875
190	45905	434779
191	46136	434449
192	46373	434178
193	46597	433791
194	46832	433498
195	47058	433126
196	47283	432750
197	47512	432412
198	47736	432028
199	47934	431407
200	48172	431153
201	48408	430881
202	48622	430418
203	48815	429768
204	49065	429621
205	49299	429339
206	49521	428942
207	49770	428789
208	50007	428531
209	50234	428192
210	50467	427900
211	50688	427504
212	50913	427151
213	51149	426886
214	51372	426507
215	51603	426203
216	51864	426153
217	52300	427518
218	52605	427812
219	52831	427457
220	53071	427212
221	53298	426864
222	53551	426727
223	53788	426463
224	54013	426109
225	54263	425946
226	54493	425626
227	54721	425292
228	54979	425190
229	55192	424741
230	55442	424575
231	55654	424123
232	55875	423743
233	56101	423400
234	56281	422709
235	56525	422504
236	56743	422106
237	56965	421735
238	57202	421479
239	57427	421136
240	57666	420892
241	57911	420698
242	58164	420558
243	58408	420350
244	58632	420002
245	58885	419855
246	59149	419792
247	59363	419373
248	59586	419020
249	59835	418845
250	60108	418843
251	60330	418482
252	60582	418329
253	60803	417965
254	61049	417768
255	61301	417616
256	61561	417516
257	61787	417185
258	62051	417112
259	62291	416872
260	62527	416611
261	62800	416589
262	63033	416309
263	63313	416332
264	63563	416160
265	63794	415865
266	64048	415717
267	64303	415574
268	64547	415360
269	64783	415092
270	65041	414968
271	65285	414756
272	65536	414586
273	65808	414545
274	66044	414279
275	66282	414026
276	66514	413736
277	66752	413484
278	66991	413232
279	67229	412981
280	67475	412775
281	67715	412536
282	67958	412310
283	68216	412181
284	68478	412074
285	68729	411897
286	68986	411752
287	69229	411529
288	69469	411285
289	69685	410905
290	69952	410820
291	70212	410696
292	70445	410410
293	70682	410148
294	70924	409918
295	71144	409559
296	71381	409304
297	71612	409008
298	71863	408831
299	72127	408720
300	72373	408512
301	72614	408276
302	72856	408046
303	73090	407767
304	73310	407415
305	73559	407221
306	73810	407037
307	74034	406711
308	74275	406471
309	74512	406212
310	74751	405965
311	74982	405672
312	75229	405471
313	75472	405246
314	75672	404790
315	75924	404608
316	76131	404191
317	76364	403917
318	76601	403656
319	76807	403239
320	77017	402840
321	77252	402576
322	77475	402250
323	77698	401922
324	77926	401622
325	78150	401301
326	78374	400982
327	78623	400790
328	78861	400537
329	79121	400403
330	79373	400227
331	79606	399948
332	79843	399695
333	80075	399420
334	80296	399084
335	80728	399795
336	80959	399511
337	81185	399204
338	81406	398868
339	81657	398678
340	81867	398292
341	82131	398171
