iter	Passed	Remaining
0	329	658345
1	581	580822
2	888	591630
3	1225	611499
4	2101	838581
5	2606	866331
6	3122	889030
7	3444	857610
8	3784	837218
9	4213	838509
10	4558	824223
11	4864	805936
12	5162	788992
13	5446	772593
14	5725	757727
15	6041	749177
16	6326	737987
17	6592	725866
18	6894	718821
19	7184	711219
20	7435	700724
21	7850	705861
22	8147	700336
23	8389	690698
24	8633	682039
25	8859	672633
26	9057	661867
27	9273	653096
28	9481	644417
29	9682	635827
30	9908	629371
31	10134	623241
32	10341	616387
33	10556	610441
34	10786	605592
35	10943	597011
36	11162	592228
37	11396	588405
38	11591	582864
39	11803	578373
40	11998	573302
41	12266	571834
42	12488	568355
43	12696	564398
44	12889	559985
45	13083	555745
46	13308	553000
47	13532	550310
48	13792	549147
49	13982	545322
50	14191	542353
51	14435	540790
52	14633	537582
53	14849	535129
54	15053	532336
55	15280	530456
56	15548	530022
57	15848	530646
58	16087	529236
59	16302	527104
60	16522	525204
61	16767	524116
62	16981	522111
63	17189	519993
64	17377	517326
65	17596	515620
66	17818	514090
67	18170	516261
68	18450	516345
69	18686	515226
70	18888	513192
71	19095	511323
72	19318	509949
73	19539	508554
74	19755	507057
75	20015	506720
76	20252	505796
77	20469	504391
78	20677	502802
79	20914	501949
80	21163	501396
81	21349	499379
82	21560	497976
83	21794	497120
84	22036	496458
85	22313	496612
86	22546	495771
87	22781	494972
88	23013	494152
89	23231	493033
90	23443	491792
91	23682	491144
92	23914	490384
93	24154	489775
94	24382	488940
95	24604	487979
96	24891	488337
97	25102	487186
98	25758	494608
99	26038	494736
100	26338	495220
101	26757	497890
102	27021	497669
103	27402	499565
104	27609	498282
105	27863	497865
106	28100	497136
107	28307	495900
108	28528	494936
109	28748	493943
110	28990	493352
111	29250	493082
112	29546	493398
113	29878	494302
114	30210	495182
115	30492	495241
116	30825	496109
117	31233	498145
118	31644	500201
119	31889	499597
120	32168	499536
121	32379	498432
122	32610	497643
123	32898	497717
124	33182	497744
125	33483	497998
126	33780	498196
127	34071	498301
128	34354	498274
129	34733	499625
130	35078	500469
131	35348	500228
132	35459	497765
133	35719	497407
134	35961	496807
135	36196	496103
136	36448	495652
137	36919	498148
138	37356	500151
139	37692	500767
140	37945	500282
141	38174	499494
142	38378	498377
143	38579	497251
144	38783	496165
145	38995	495195
146	39216	494345
147	39432	493443
148	39646	492522
149	39830	491243
150	40061	490555
151	40293	489885
152	40537	489369
153	40746	488432
154	40940	487328
155	41219	487234
156	41461	486711
157	41686	485988
158	41924	485421
159	42240	485766
160	42435	484709
161	42640	483784
162	43007	484687
163	43749	489779
164	44203	491591
165	44531	491996
166	45094	494960
167	45655	497860
168	45971	498072
169	46324	498668
170	46576	498181
171	46834	497751
172	47106	497475
173	47363	497039
174	47676	497200
175	47900	496424
176	48138	495799
177	48352	494937
